Feature,Correlation,P_Value
concave points_worst,0.79356601714127,1.9690997072166436e-124
perimeter_worst,0.7829141371737594,5.771397139668998e-119
concave points_mean,0.7766138400204355,7.101150161056384e-116
radius_worst,0.7764537785950394,8.48229192168709e-116
perimeter_mean,0.7426355297258329,8.436251036174637e-101
area_worst,0.7338250349210509,2.8288477042871116e-97
radius_mean,0.7300285113754563,8.465940572263701e-96
area_mean,0.7089838365853899,4.734564310308322e-88
concavity_mean,0.6963597071719059,9.966555755072372e-84
concavity_worst,0.659610210369233,2.464663956783069e-72
compactness_mean,0.596533677508253,3.9382631058874937e-56
compactness_worst,0.590998237841792,7.069816352538329e-55
radius_se,0.5671338208247176,9.738948656461213e-50
perimeter_se,0.5561407034314831,1.6519051758497846e-47
area_se,0.5482359402780242,5.895521392605922e-46
texture_worst,0.45690282139679816,1.0780574879493744e-30
smoothness_worst,0.42146486106640263,6.575143633984066e-26
symmetry_worst,0.4162943110486191,2.951120577154023e-25
texture_mean,0.41518529984520436,4.0586360478983794e-25
concave points_se,0.4080423327165046,3.0723087688180907e-24
smoothness_mean,0.35855996508593213,1.0518503592032074e-18
symmetry_mean,0.3304985542625471,5.733384028466798e-16
fractal_dimension_worst,0.32387218872082396,2.3164324499827756e-15
compactness_se,0.2929992442488583,9.975994654075154e-13
concavity_se,0.25372976598083047,8.260176167969956e-10
fractal_dimension_se,0.07797241739025615,0.0630735508223939
smoothness_se,-0.06701601057948735,0.11029660865789315
fractal_dimension_mean,-0.012837602698432374,0.7599368037256305
texture_se,-0.008303332973877408,0.8433320287670178
symmetry_se,-0.006521755870647943,0.8766418183858834
